Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run_ID,Source File,Is Malicious Data
1,0.0,0,distilbert.transformer.layer.2.sa_layer_norm.weight,normal,0.0,0.0,0.40833998,3.8930018,0.7490284,0.7604737,0.14828189,0.69283485,0.807809,0.8450629711151123,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.sa_layer_norm.weight,normal,0.0,0.0,0.4095682,3.8930802,0.7489941,0.76061606,0.14829235,0.69264066,0.8075349,0.8453432321548462,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.attention.out_lin.weight,normal,0.0,0.0,-0.38360485,0.4373889,8.10681e-06,-9.232602e-05,0.04450659,-0.02926888,0.029266428,-0.0192742813378572,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.4.attention.out_lin.weight,normal,0.0,0.0,-0.38329864,0.4359726,8.025019e-06,-6.341672e-05,0.04450739,-0.02925571,0.029246533,-0.0203831773251295,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.attention.q_lin.weight,normal,0.0,0.0,-0.25305155,0.24862227,-0.00021377282,-0.00021635374,0.04879675,-0.032747697,0.032322537,0.0518852770328521,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.4.attention.q_lin.weight,normal,0.0,0.0,-0.2543758,0.24777183,-0.00021310335,-0.00023027233,0.048799302,-0.032741405,0.032321423,0.052269734442234,0,dataset_normal.csv,False
1,0.0,0,distilbert.embeddings.word_embeddings.weight,normal,0.0,0.0,-1.0925636,0.59069294,-0.03832392,-0.039397523,0.04698603,-0.06762434,-0.011316568,-0.0166448429226875,0,dataset_normal.csv,False
2,0.0,0,distilbert.embeddings.word_embeddings.weight,normal,0.0,0.0,-1.0936288,0.5915886,-0.03832413,-0.039398097,0.046987213,-0.06762369,-0.011315004,-0.0166448429226875,0,dataset_normal.csv,False
4,0.0,0,classifier.weight,normal,0.0,0.0,-0.058902554,0.062872775,-0.000505795,-0.00031458726,0.019743914,-0.014131146,0.01265531,0.0084389960393309,0,dataset_normal.csv,False
2,0.0,0,classifier.weight,normal,0.0,0.0,-0.059079323,0.06291433,-0.00050577975,-0.00051996,0.01975616,-0.014166668,0.012683559,0.0080514159053564,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.3.attention.v_lin.weight,normal,0.0,0.0,-0.32906866,0.27062115,0.0001824606,0.0002003479,0.046099916,-0.029647246,0.029991396,-0.0140682952478528,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.3.attention.v_lin.weight,normal,0.0,0.0,-0.32804614,0.26907426,0.00018278006,0.00020261484,0.046101112,-0.029670974,0.030002512,-0.0128913205116987,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.ffn.lin1.weight,normal,0.0,0.0,-0.68659455,0.60205287,0.00016202164,1.6253076e-05,0.044709466,-0.02871181,0.028873928,0.0107139991596341,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.1.ffn.lin1.weight,normal,0.0,0.0,-0.68637085,0.60219866,0.00016193787,3.3554197e-06,0.044709247,-0.028717691,0.028870214,0.0119975665584206,0,dataset_normal.csv,False
1,0.0,0,pre_classifier.weight,normal,0.0,0.0,-0.09788103,0.09005724,-7.948841e-06,-1.7663082e-05,0.02004061,-0.013499572,0.013503086,0.0183078069239854,0,dataset_normal.csv,False
2,0.0,0,pre_classifier.weight,normal,0.0,0.0,-0.09935795,0.08929599,-2.6323175e-06,-4.669887e-06,0.020037606,-0.01348529,0.013499373,0.0206564106047153,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.4.sa_layer_norm.weight,normal,0.0,0.0,0.55410033,2.4799442,0.73166806,0.72211796,0.09406641,0.68949664,0.76520437,0.7929344177246094,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.sa_layer_norm.weight,normal,0.0,0.0,0.55440813,2.479228,0.7315815,0.72249746,0.09407169,0.6891599,0.76579833,0.7923352718353271,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.5.output_layer_norm.weight,normal,0.0,0.0,0.21280089,0.7466919,0.6061259,0.6051688,0.028689766,0.59240055,0.61997443,0.6316971182823181,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.output_layer_norm.weight,normal,0.0,0.0,0.2132435,0.7463452,0.6061112,0.6052896,0.028646706,0.5924648,0.6200344,0.630589485168457,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.1.attention.v_lin.weight,normal,0.0,0.0,-0.22788583,0.2610058,-0.00013642246,-0.00014756288,0.035780653,-0.023324843,0.022968274,-0.0050149396993219,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.1.attention.v_lin.weight,normal,0.0,0.0,-0.22847135,0.26054382,-0.00013427327,-0.0001634119,0.035778195,-0.023317473,0.022961285,-0.0034493864513933,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.2.ffn.lin2.weight,normal,0.0,0.0,-9.963493,2.1820295,-2.9251537e-06,-3.2979486e-05,0.0448247,-0.026867084,0.026956674,-0.0603877268731594,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.2.ffn.lin2.weight,normal,0.0,0.0,-9.963823,2.1844301,-2.9975693e-06,-4.202338e-05,0.044822987,-0.026861452,0.026957363,-0.0603881403803825,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.0.ffn.lin2.weight,normal,0.0,0.0,-2.039329,0.913615,-8.767775e-05,-6.901349e-05,0.042755026,-0.026761133,0.026621722,-0.0293563809245824,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.0.ffn.lin2.weight,normal,0.0,0.0,-2.0387278,0.9130056,-8.878271e-05,-6.626299e-05,0.042755395,-0.026763972,0.026628328,-0.0289228670299053,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.5.attention.k_lin.weight,normal,0.0,0.0,-0.44706312,0.28597277,0.00020843733,0.00021953147,0.048551876,-0.032190017,0.032585423,0.046839028596878,0,dataset_normal.csv,False
1,0.0,0,distilbert.transformer.layer.5.attention.k_lin.weight,normal,0.0,0.0,-0.4477644,0.28565678,0.0002086908,0.0002114352,0.04855079,-0.03217763,0.032592747,0.0474561862647533,0,dataset_normal.csv,False
2,0.0,0,distilbert.transformer.layer.4.output_layer_norm.weight,normal,0.0,0.0,0.09106177,1.4293687,0.7762782,0.78007877,0.0667079,0.7562913,0.8046249,0.8245931267738342,0,dataset_normal.csv,False
