Round,Mean_Variance,Number_of_outliers,Layer,Attack_Type,MALICIOUS_NODE_RATIO,MALICIOUS_DATA_RATIO,Weight_Min,Weight_Max,Weight_Mean,Weight_Median,Weight_Std,Weight_Q25,Weight_Q75,First_Weight,Run ID
1,0.0,0,distilbert.transformer.layer.1.ffn.lin1.weight,random,0.1,0.1,-0.6863829,0.60218656,0.00016201427,1.118834e-05,0.04471126,-0.028711664,0.028868562,0.0104127107188105,0
1,0.0,0,pre_classifier.weight,random,0.1,0.1,-0.09474606,0.090233035,-4.9845126e-05,-6.9739704e-05,0.020034177,-0.013597606,0.013470887,-0.0468812361359596,0
2,0.0,0,pre_classifier.weight,random,0.1,0.1,-0.094436795,0.09001857,-4.7200156e-05,-5.6889425e-05,0.02002803,-0.013587922,0.013479505,-0.0471255928277969,0
1,0.0,0,distilbert.transformer.layer.4.sa_layer_norm.weight,random,0.1,0.1,0.55454844,2.479992,0.73160315,0.722051,0.0940958,0.689155,0.76577747,0.7944916486740112,0
2,0.0,0,distilbert.transformer.layer.4.sa_layer_norm.weight,random,0.1,0.1,0.5550072,2.4796202,0.73164576,0.72240627,0.09408419,0.6892683,0.7656902,0.7937610745429993,0
1,0.0,0,distilbert.transformer.layer.5.output_layer_norm.weight,random,0.1,0.1,0.21497096,0.7477116,0.60633916,0.6055061,0.028595304,0.5924653,0.61992985,0.6275508403778076,0
2,0.0,0,distilbert.transformer.layer.5.output_layer_norm.weight,random,0.1,0.1,0.21422695,0.74693626,0.6061773,0.6049421,0.02862908,0.5923941,0.61966586,0.628242552280426,0
1,0.0,0,distilbert.transformer.layer.1.attention.v_lin.weight,random,0.1,0.1,-0.2281125,0.26116818,-0.00013526742,-0.00015914136,0.035779737,-0.023330824,0.022969274,-0.0050550382584333,0
2,0.0,0,distilbert.transformer.layer.1.attention.v_lin.weight,random,0.1,0.1,-0.2295679,0.26184317,-0.00013453398,-0.00015141723,0.035781752,-0.02333692,0.022982432,-0.0032781893387436,0
2,0.0,0,distilbert.transformer.layer.2.ffn.lin2.weight,random,0.1,0.1,-9.963298,2.1844459,2.3980292e-06,-2.565888e-05,0.044822868,-0.026855504,0.026951741,-0.0590173602104187,0
1,0.0,0,distilbert.transformer.layer.2.ffn.lin2.weight,random,0.1,0.1,-9.962089,2.1816192,-6.66448e-06,-3.5991725e-05,0.044822987,-0.026878608,0.026956722,-0.0573163367807865,0
2,0.0,0,distilbert.transformer.layer.0.ffn.lin2.weight,random,0.1,0.1,-2.0401697,0.9138149,-8.032268e-05,-5.4760458e-05,0.042754903,-0.026760206,0.026633985,-0.0277024786919355,0
1,0.0,0,distilbert.transformer.layer.0.ffn.lin2.weight,random,0.1,0.1,-2.0421336,0.9129805,-9.261548e-05,-8.265566e-05,0.04275683,-0.026769375,0.026620666,-0.0289129558950662,0
2,0.0,0,distilbert.transformer.layer.5.attention.k_lin.weight,random,0.1,0.1,-0.4478942,0.2850143,0.00020801592,0.00021051716,0.04854961,-0.032179333,0.03258457,0.0447351858019828,0
1,0.0,0,distilbert.transformer.layer.5.attention.k_lin.weight,random,0.1,0.1,-0.4474259,0.28537855,0.000207626,0.00020746369,0.04855256,-0.032187812,0.03259736,0.0461897812783718,0
2,0.0,0,distilbert.transformer.layer.4.output_layer_norm.weight,random,0.1,0.1,0.091545515,1.4295367,0.7762282,0.7799808,0.06671751,0.7561861,0.8045544,0.8256699442863464,0
1,0.0,0,distilbert.transformer.layer.4.output_layer_norm.weight,random,0.1,0.1,0.09229973,1.4293725,0.77631575,0.77968574,0.066643655,0.75646126,0.8046141,0.8252872824668884,0
2,0.0,0,distilbert.transformer.layer.3.attention.out_lin.weight,random,0.1,0.1,-0.27600086,0.29106566,-2.7165874e-05,1.8310839e-05,0.043782264,-0.027531676,0.027539143,-0.0675250887870788,0
1,0.0,0,distilbert.transformer.layer.3.attention.out_lin.weight,random,0.1,0.1,-0.27695543,0.29025078,-2.6342785e-05,1.02053145e-05,0.043782324,-0.027517077,0.027565347,-0.0664135068655014,0
2,0.0,0,distilbert.embeddings.position_embeddings.weight,random,0.1,0.1,-0.947397,0.72483593,-3.91646e-05,-1.3279756e-05,0.01609755,-0.009379717,0.00935821,0.0167156867682933,0
1,0.0,0,distilbert.embeddings.position_embeddings.weight,random,0.1,0.1,-0.9477712,0.727807,-3.927481e-05,-2.680656e-05,0.016102206,-0.009381506,0.009362037,0.0182634722441434,0
1,0.0,0,distilbert.transformer.layer.4.attention.v_lin.weight,random,0.1,0.1,-0.25598848,0.23608434,3.2835345e-05,1.2540831e-05,0.046913087,-0.030855834,0.030916527,-0.0530800893902778,0
2,0.0,0,distilbert.transformer.layer.4.attention.v_lin.weight,random,0.1,0.1,-0.25689322,0.2358062,3.31237e-05,1.8229013e-05,0.046913024,-0.030849416,0.030913193,-0.0529122240841388,0
2,0.0,0,distilbert.transformer.layer.5.attention.q_lin.weight,random,0.1,0.1,-0.6461778,0.6245038,-0.00020841882,-0.00033732317,0.049242686,-0.032760352,0.032428715,-0.0542990192770957,0
1,0.0,0,distilbert.transformer.layer.5.attention.q_lin.weight,random,0.1,0.1,-0.6441774,0.62497556,-0.0002082354,-0.00032933938,0.04924499,-0.032747895,0.032427404,-0.0515190511941909,0
2,0.0,0,distilbert.transformer.layer.3.ffn.lin2.weight,random,0.1,0.1,-3.135847,0.9944879,1.2413646e-05,5.0811985e-05,0.040747188,-0.025466293,0.025571445,-0.0033520257566124,0
1,0.0,0,distilbert.transformer.layer.3.ffn.lin2.weight,random,0.1,0.1,-3.1353774,0.99484193,6.244204e-06,3.782224e-05,0.040747818,-0.02546134,0.025568165,-0.0021766105201095,0
1,0.0,0,distilbert.transformer.layer.1.attention.out_lin.weight,random,0.1,0.1,-0.45673716,0.45256102,-2.1123367e-06,2.008983e-05,0.03542647,-0.022027755,0.022074062,0.0123595260083675,1
2,0.0,0,distilbert.transformer.layer.1.attention.out_lin.weight,random,0.1,0.1,-0.4564252,0.45178863,-2.8739692e-06,1.3950463e-05,0.03542824,-0.022021666,0.022073375,0.0118429632857441,1
1,0.0,0,distilbert.transformer.layer.2.attention.k_lin.weight,random,0.1,0.1,-0.34012523,0.3684799,3.999217e-05,5.8536745e-05,0.04744883,-0.031168964,0.03120539,0.0940167754888534,1
2,0.0,0,distilbert.transformer.layer.2.attention.k_lin.weight,random,0.1,0.1,-0.34152713,0.36872932,3.9142047e-05,5.6159224e-05,0.047447342,-0.031166393,0.031185085,0.0940203219652175,1
1,0.0,0,distilbert.transformer.layer.0.attention.k_lin.weight,random,0.1,0.1,-0.9365108,0.78241503,1.2024166e-05,4.2588443e-05,0.043192413,-0.027030693,0.027054848,0.0357066169381141,1
2,0.0,0,distilbert.transformer.layer.0.attention.k_lin.weight,random,0.1,0.1,-0.93712384,0.7819177,1.4889091e-05,4.3996653e-05,0.04318927,-0.027044136,0.027016884,0.034921821206808,1
2,0.0,0,distilbert.transformer.layer.0.output_layer_norm.weight,random,0.1,0.1,0.10508241,0.849417,0.74712706,0.75974804,0.070744954,0.7287928,0.7877706,0.79875248670578,1
1,0.0,0,distilbert.transformer.layer.0.output_layer_norm.weight,random,0.1,0.1,0.10483151,0.84844726,0.7470732,0.7597412,0.070757166,0.72815627,0.78737074,0.7980358004570007,1
2,0.0,0,distilbert.transformer.layer.4.ffn.lin2.weight,random,0.1,0.1,-4.255177,2.3765142,-7.785884e-06,1.4076326e-05,0.04205806,-0.026501419,0.026585467,0.0467742569744586,1
